time,NODE1,NODE2,NODE3
2015-04-12 19:09:00.0,0.56,1.17,0.52
2015-04-12 19:10:00.0,0.52,1.17,0.59
2015-04-12 19:11:00.0,0.53,1.15,0.53
2015-04-12 19:12:00.0,0.5,1.14,0.49
2015-04-12 19:13:00.0,0.48,1.11,0.48
2015-04-12 19:14:00.0,0.55,1.08,0.54
2015-04-12 19:15:00.0,0.48,1.1,0.51
2015-04-12 19:16:00.0,0.54,1.15,0.55
2015-04-12 19:17:00.0,0.63,1.21,0.6
2015-04-12 19:18:00.0,0.58,1.16,0.47
2015-04-12 19:19:00.0,0.52,1.08,0.52
2015-04-12 19:20:00.0,0.49,1.05,0.5
2015-04-12 19:21:00.0,0.52,1.05,0.51
2015-04-12 19:22:00.0,0.49,1.04,0.53
2015-04-12 19:23:00.0,0.5,1.1,0.49
2015-04-12 19:24:00.0,0.62,1.15,0.49
2015-04-12 19:25:00.0,0.58,1.12,0.5
2015-04-12 19:26:00.0,0.56,1.13,0.48
2015-04-12 19:27:00.0,0.5,1.17,0.51
2015-04-12 19:28:00.0,0.49,1.16,0.51
2015-04-12 19:29:00.0,0.49,1.1,0.49
2015-04-12 19:30:00.0,0.5,1.11,0.48
2015-04-12 19:31:00.0,0.48,1.07,0.49
2015-04-12 19:32:00.0,0.48,1.1,0.49
2015-04-12 19:33:00.0,0.5,1.11,0.48
2015-04-12 19:34:00.0,0.48,1.06,0.48
2015-04-12 19:35:00.0,0.49,1.08,0.52
2015-04-12 19:36:00.0,0.48,1.11,0.47
2015-04-12 19:37:00.0,0.47,1.07,0.47
2015-04-12 19:38:00.0,0.5,1.12,0.49
2015-04-12 19:39:00.0,0.49,1.11,0.48
2015-04-12 19:40:00.0,0.48,1.05,0.49
2015-04-12 19:41:00.0,0.49,1.03,0.48
2015-04-12 19:42:00.0,0.47,1.05,0.48
2015-04-12 19:43:00.0,0.47,1.09,0.49
2015-04-12 19:44:00.0,0.49,1.1,0.5
2015-04-12 19:45:00.0,0.51,1.15,0.49
2015-04-12 19:46:00.0,0.56,1.16,0.48
2015-04-12 19:47:00.0,0.57,1.18,0.62
2015-04-12 19:48:00.0,0.59,1.15,0.58
2015-04-12 19:49:00.0,0.59,1.22,0.49
2015-04-12 19:50:00.0,0.6,1.25,0.5
2015-04-12 19:51:00.0,0.53,2.24,0.61
2015-04-12 19:52:00.0,0.49,1.99,0.63
2015-04-12 19:53:00.0,0.51,1.27,0.58
2015-04-12 19:54:00.0,0.51,1.16,0.54
2015-04-12 19:55:00.0,0.5,1.08,0.51
2015-04-12 19:56:00.0,0.48,1.09,0.5
2015-04-12 19:57:00.0,0.51,1.12,0.49
2015-04-12 19:58:00.0,0.47,1.08,0.47
2015-04-12 19:59:00.0,0.53,1.16,0.52
2015-04-12 20:00:00.0,0.56,1.28,0.59
2015-04-12 20:01:00.0,0.55,1.15,0.52
2015-04-12 20:02:00.0,0.55,1.21,0.53
2015-04-12 20:03:00.0,0.51,1.15,0.51
2015-04-12 20:04:00.0,0.49,1.07,0.5
2015-04-12 20:05:00.0,0.46,1.2,0.51
2015-04-12 20:06:00.0,0.48,1.14,0.5
2015-04-12 20:07:00.0,0.49,1.12,0.51
2015-04-12 20:08:00.0,0.49,1.1,0.47
2015-04-12 20:09:00.0,0.51,1.12,0.51
2015-04-12 20:10:00.0,0.52,1.1,0.51
2015-04-12 20:11:00.0,0.61,1.14,0.51
2015-04-12 20:12:00.0,0.51,1.2,0.58
2015-04-12 20:13:00.0,0.52,1.13,0.54
2015-04-12 20:14:00.0,0.52,1.1,0.49
2015-04-12 20:15:00.0,0.53,1.19,0.5
2015-04-12 20:16:00.0,0.51,1.13,0.48
2015-04-12 20:17:00.0,0.62,1.18,0.61
2015-04-12 20:18:00.0,0.62,1.11,0.49
2015-04-12 20:19:00.0,0.59,1.11,0.45
2015-04-12 20:20:00.0,0.61,1.14,0.52
2015-04-12 20:21:00.0,0.53,1.16,0.49
2015-04-12 20:22:00.0,0.52,1.13,0.49
2015-04-12 20:23:00.0,0.53,1.15,0.52
2015-04-12 20:24:00.0,0.52,1.11,0.49
2015-04-12 20:25:00.0,0.53,1.12,0.53
2015-04-12 20:26:00.0,0.5,1.11,0.49
2015-04-12 20:27:00.0,0.5,1.1,0.52
2015-04-12 20:28:00.0,0.49,1.12,0.49
2015-04-12 20:29:00.0,0.52,1.09,0.47
2015-04-12 20:30:00.0,0.5,1.12,0.5
2015-04-12 20:31:00.0,0.51,1.2,0.49
2015-04-12 20:32:00.0,0.56,1.14,0.53
2015-04-12 20:33:00.0,0.59,1.14,0.5
2015-04-12 20:34:00.0,0.59,1.09,0.5
2015-04-12 20:35:00.0,0.51,1.17,0.51
2015-04-12 20:36:00.0,0.48,1.16,0.48
2015-04-12 20:37:00.0,0.47,1.11,0.51
2015-04-12 20:38:00.0,0.48,1.1,0.48
2015-04-12 20:39:00.0,0.53,1.16,0.5
2015-04-12 20:40:00.0,0.49,1.16,0.5
2015-04-12 20:41:00.0,0.51,1.12,0.49
2015-04-12 20:42:00.0,0.52,1.11,0.48
2015-04-12 20:43:00.0,0.51,1.1,0.46
2015-04-12 20:44:00.0,0.63,1.1,0.61
2015-04-12 20:45:00.0,0.61,1.07,0.52
2015-04-12 20:46:00.0,0.6,1.09,0.5
2015-04-12 20:47:00.0,0.54,1.13,0.49
2015-04-12 20:48:00.0,0.51,1.09,0.5
2015-04-12 20:49:00.0,0.49,1.14,0.52
2015-04-12 20:50:00.0,0.52,1.16,0.52
2015-04-12 20:51:00.0,0.48,1.93,0.48
2015-04-12 20:52:00.0,0.5,1.86,0.5
2015-04-12 20:53:00.0,0.51,1.1,0.51
2015-04-12 20:54:00.0,0.54,1.13,0.53
2015-04-12 20:55:00.0,0.55,1.11,0.48
2015-04-12 20:56:00.0,0.53,1.12,0.51
2015-04-12 20:57:00.0,0.51,1.22,0.51
2015-04-12 20:58:00.0,0.63,1.06,0.63
2015-04-12 20:59:00.0,0.55,1.1,0.62
2015-04-12 21:00:00.0,0.51,1.04,0.53
2015-04-12 21:01:00.0,0.49,1.08,0.51
2015-04-12 21:02:00.0,0.52,1.07,0.52
2015-04-12 21:03:00.0,0.53,1.18,0.53
2015-04-12 21:04:00.0,0.54,1.09,0.56
2015-04-12 21:05:00.0,0.54,1.05,0.51
2015-04-12 21:06:00.0,0.53,1.1,0.51
2015-04-12 21:07:00.0,0.49,1.07,0.51
2015-04-12 21:08:00.0,0.54,1.16,0.57
2015-04-12 21:09:00.0,0.52,1.03,0.61
2015-04-12 21:10:00.0,0.5,1.05,0.56
2015-04-12 21:11:00.0,0.51,1.08,0.46
2015-04-12 21:12:00.0,0.49,1.04,0.47
2015-04-12 21:13:00.0,0.71,1.13,0.51
2015-04-12 21:14:00.0,0.64,1.14,0.51
2015-04-12 21:15:00.0,0.57,1.05,0.53
2015-04-12 21:16:00.0,0.52,1.05,0.5
2015-04-12 21:17:00.0,0.5,1.03,0.48
2015-04-12 21:18:00.0,0.49,1.02,0.49
2015-04-12 21:19:00.0,0.48,1.05,0.49
2015-04-12 21:20:00.0,0.51,1.11,0.51
2015-04-12 21:21:00.0,0.49,1.03,0.49
2015-04-12 21:22:00.0,0.48,1.04,0.48
2015-04-12 21:23:00.0,0.58,1.14,0.47
2015-04-12 21:24:00.0,0.6,1.25,0.53
2015-04-12 21:25:00.0,0.52,1.26,0.53
2015-04-12 21:26:00.0,0.47,1.1,0.49
2015-04-12 21:27:00.0,0.5,1.15,0.54
2015-04-12 21:28:00.0,0.5,1.13,0.52
2015-04-12 21:29:00.0,0.51,1.07,0.49
2015-04-12 21:30:00.0,0.5,1.14,0.51
2015-04-12 21:31:00.0,0.52,1.13,0.5
2015-04-12 21:32:00.0,0.5,1.1,0.48
2015-04-12 21:33:00.0,0.49,1.04,0.48
2015-04-12 21:34:00.0,0.51,1.1,0.5
2015-04-12 21:35:00.0,0.48,1.07,0.5
2015-04-12 21:36:00.0,0.51,1.06,0.51
2015-04-12 21:37:00.0,0.48,1.03,0.46
2015-04-12 21:38:00.0,0.5,1.06,0.49
2015-04-12 21:39:00.0,0.49,1.05,0.51
2015-04-12 21:40:00.0,0.5,1.02,0.5
2015-04-12 21:41:00.0,0.52,1.04,0.51
2015-04-12 21:42:00.0,0.63,1.21,0.61
2015-04-12 21:43:00.0,0.6,1.28,0.54
2015-04-12 21:44:00.0,0.48,1.19,0.48
2015-04-12 21:45:00.0,0.49,1.16,0.49
2015-04-12 21:46:00.0,0.48,1.04,0.49
2015-04-12 21:47:00.0,0.49,1.05,0.47
2015-04-12 21:48:00.0,0.49,1.07,0.46
2015-04-12 21:49:00.0,0.49,1.05,0.47
2015-04-12 21:50:00.0,0.49,1.27,0.49
2015-04-12 21:51:00.0,0.49,2.02,0.49
2015-04-12 21:52:00.0,0.49,1.77,0.52
2015-04-12 21:53:00.0,0.53,1.05,0.51
2015-04-12 21:54:00.0,0.5,1.05,0.5
2015-04-12 21:55:00.0,0.84,1.3,0.5
2015-04-12 21:56:00.0,0.52,1.1,0.49
2015-04-12 21:57:00.0,0.5,1.1,0.51
2015-04-12 21:58:00.0,0.52,1.12,0.5
2015-04-12 21:59:00.0,0.53,1.15,0.51
2015-04-12 22:00:00.0,0.53,1.15,0.53
2015-04-12 22:01:00.0,0.55,1.1,0.53
2015-04-12 22:02:00.0,0.62,1.13,0.53
2015-04-12 22:03:00.0,0.57,1.03,0.5
